Country,Date,Doses,Funder,ISO3,NewPipeline,Pipeline,Source_Url,Vaccine,c9
Nigeria,August,4,000,080,USA,NGA,COVAX/USA,COVAX,https://www.vanguardngr.com/2021/08/nigeria-receives-4m-doses-of-moderna-covid-19-vaccine-from-us/,Moderna,
Libya,August,2,000,000,Procured,LBY,Procured,Other,https://english.alarabiya.net/coronavirus/2021/08/02/Libya-receives-two-million-Sinopharm-doses-with-more-expected,Sinopharm,
Ukraine,August ,509,400,Denmark,UKR,Denmark,Other,https://reliefweb.int/report/ukraine/ukraine-receives-half-million-doses-astrazeneca-vaccine-donated-denmark-enuk,AstraZeneca,
Mali,August,151,200,USA,MLI,COVAX/USA,COVAX,Microsoft Power BI,Johnson & Johnson,
oPt,April,72,000,Global,PSE,COVAX/Global,COVAX,https://www.unicef.org/sop/press-releases/state-palestine-receives-its-third-allocation-covid-19-vaccines,AstraZeneca,
oPt,May,102,960,Global,PSE,COVAX/Global,COVAX,https://www.unicef.org/sop/press-releases/state-palestine-receives-its-third-allocation-covid-19-vaccines,Pfizer/BioNTech,
Libya,June,54,990,Global,LBY,COVAX/Global,COVAX,https://reliefweb.int/sites/reliefweb.int/files/resources/libya_covid_update_28.pdf,Pfizer/BioNTech,
Afghanistan,August,144,000,France,AFG,COVAX/France,COVAX,https://www.facebook.com/UNICEFSouthAsia/posts/4263791213674384,,
Chad,June,100,620,Global,TCD,COVAX/Global,COVAX,https://reliefweb.int/report/chad/chad-quick-alerts-9-july-2021,Pfizer/BioNTech,
Sudan,August,606,700,USA,SDN,COVAX/USA,COVAX,https://www.unicef.org/sudan/press-releases/united-states-donates-more-600000-single-dose-johnson-johnson-covid-19-vaccines-help,Johnson & Johnson,
Ukraine,August,100,000,Lithuania,UKR,Lithuania,Other,https://ukranews.com/en/news/795885-lithuania-sends-46-000-doses-of-astrazeneca-vaccine-to-ukraine,AstraZeneca,
Somalia,August,108,000,France,SOM,COVAX/France,COVAX,https://reliefweb.int/report/somalia/108-000-doses-covid-19-vaccines-donated-france-arrive-somalia,AstraZeneca,
Pakistan,August,1,320,000,Procured,PAK,Procured,Other,https://www.geo.tv/latest/364022-another-528000-doses-of-sinopharm-vaccine-arrive-in-pakistan,Sinopharm,
Pakistan,August,680,000,Procured,PAK,Procured,Other,https://www.thenews.com.pk/latest/875227-680000-more-doses-of-sinopharm-vaccine-arrive-in-pakistan,Sinopharm,
Cameroon,August,158,400,African Vaccine Acquisition Trust,CMR,African Vaccine Acquisition Trust,Other,https://reliefweb.int/report/cameroon/eca-afreximbank-africa-cdc-procure-158400-johnson-johnson-vaccines-cameroon-millions,Johnson & Johnson,
Somalia,August,302,400,USA,SOM,COVAX/USA,COVAX,https://africa.cgtn.com/2021/08/12/somalia-receives-over-302000-doses-of-johnson-johnsons-covid-19-vaccine/,Johnson & Johnson,
Colombia,August,394,290,Procured,COL,Procured,Other,https://www.elpais.com.co/colombia/colombia-recibio-este-miercoles-394-290-dosis-mas-de-la-vacuna-anticovid-de-pfizer.html,Pfizer/BioNTech,
oPt,August,150,000,Procured,PSE,Procured,Other,https://www.france24.com/en/live-news/20210812-palestinians-get-150-000-doses-of-pfizer-virus-vaccine,Pfizer/BioNTech,
Pakistan,August,976,782,Global,PAK,COVAX/Global,COVAX,https://reliefweb.int/report/pakistan/covax-delivers-first-tranche-6-million-doses-sinopharm-covid-19-vaccines-pakistan,Sinopharm,
